session_time_seconds,x,y
4292.946,-1745.000,-1619.000
4293.266,-2014.000,-1634.000
4293.486,-2200.000,-1644.000
4293.726,-2406.000,-1656.000
4293.766,-2441.000,-1658.000
4294.126,-2754.000,-1672.000
4294.287,-2894.000,-1676.000
4294.447,-3053.000,-1681.000
4294.626,-3195.000,-1686.000
4294.787,-3337.000,-1691.000
4294.966,-3497.000,-1695.000
4295.307,-3799.000,-1685.000
4295.547,-4014.000,-1658.000
4296.427,-4801.000,-1484.000
4296.606,-4962.000,-1445.000
4296.807,-5142.000,-1400.000
4297.087,-5394.000,-1341.000
4297.327,-5611.000,-1297.000
4297.487,-5757.000,-1273.000
4297.727,-5979.000,-1248.000
4297.887,-6128.000,-1238.000
4298.067,-6297.000,-1232.000
4298.387,-6748.000,-1230.000
4298.746,-6936.000,-1233.000
4298.946,-7217.000,-1245.000
4299.426,-7649.000,-1282.000
4299.846,-7968.000,-1318.000
4300.046,-8155.000,-1342.000
4300.227,-8322.000,-1364.000
4300.427,-8640.000,-1408.000
4300.826,-8882.000,-1442.000
4300.946,-8994.000,-1459.000
4301.146,-9179.000,-1491.000
4301.307,-9324.000,-1524.000
4301.587,-9690.000,-1635.000
4301.966,-9867.000,-1691.000
4302.227,-10033.000,-1743.000
4302.387,-10125.000,-1771.000
4302.566,-10162.000,-1784.000
4302.747,-10240.000,-1820.000
4303.007,-10325.000,-1894.000
4303.327,-10391.000,-2031.000
4303.487,-10432.000,-2181.000
4303.767,-10455.000,-2247.000
4304.107,-10540.000,-2395.000
4304.347,-10639.000,-2491.000
4304.607,-10747.000,-2568.000
4304.827,-10854.000,-2632.000
4305.027,-10953.000,-2690.000
4305.186,-11034.000,-2736.000
4305.406,-11148.000,-2802.000
4305.726,-11403.000,-2959.000
4306.207,-11562.000,-3086.000
4306.406,-11647.000,-3182.000
4306.586,-11731.000,-3317.000
4306.926,-11811.000,-3495.000
4307.166,-11871.000,-3652.000
4307.386,-11925.000,-3796.000
4307.646,-12020.000,-4051.000
4307.986,-12076.000,-4201.000
4308.187,-12128.000,-4339.000
4308.367,-12175.000,-4465.000
4308.627,-12244.000,-4648.000
4308.867,-12314.000,-4834.000
4308.987,-12379.000,-5007.000
4309.366,-12445.000,-5183.000
4309.547,-12495.000,-5316.000
4309.947,-12613.000,-5629.000
4310.167,-12669.000,-5780.000
4310.486,-12761.000,-6022.000
4310.747,-12863.000,-6280.000
4311.067,-12940.000,-6462.000
4311.347,-13062.000,-6753.000
4311.746,-13153.000,-7040.000
4312.186,-13149.000,-7361.000
4312.546,-13102.000,-7582.000
4312.766,-13066.000,-7728.000
4312.947,-13039.000,-7848.000
4313.206,-13026.000,-8040.000
4313.567,-13060.000,-8149.000
4313.767,-13125.000,-8239.000
4313.926,-13180.000,-8292.000
4314.226,-13306.000,-8401.000
4314.387,-13373.000,-8458.000
4314.607,-13467.000,-8537.000
4314.826,-13564.000,-8619.000
4315.026,-13654.000,-8695.000
4315.167,-13718.000,-8750.000
4315.326,-13793.000,-8813.000
4315.646,-13910.000,-8910.000
4315.866,-14025.000,-9012.000
4316.027,-14104.000,-9088.000
4316.207,-14199.000,-9183.000
4316.407,-14286.000,-9269.000
4316.567,-14365.000,-9347.000
4316.887,-14525.000,-9502.000
4317.167,-14654.000,-9623.000
4317.367,-14731.000,-9700.000
4317.547,-14790.000,-9765.000
4317.747,-14842.000,-9836.000
4317.947,-14882.000,-9907.000
4318.067,-14898.000,-9949.000
4318.427,-14915.000,-10087.000
4318.766,-14891.000,-10180.000
4318.967,-14859.000,-10234.000
4319.207,-14805.000,-10291.000
4319.406,-14763.000,-10322.000
4319.666,-14678.000,-10365.000
4319.926,-14619.000,-10382.000
4320.286,-14479.000,-10396.000
4320.546,-14406.000,-10394.000
4320.867,-14285.000,-10382.000
4321.086,-14192.000,-10367.000
4321.187,-14147.000,-10360.000
4321.366,-14064.000,-10345.000
4321.646,-13927.000,-10317.000
4321.827,-13835.000,-10298.000
4322.007,-13740.000,-10279.000
4322.227,-13621.000,-10255.000
4322.507,-13462.000,-10225.000
4322.767,-13309.000,-10198.000
4323.006,-13163.000,-10172.000
4323.047,-13138.000,-10168.000
4323.327,-12962.000,-10138.000
4323.487,-12859.000,-10122.000
4323.807,-12649.000,-10090.000
4323.967,-12542.000,-10074.000
4324.147,-12419.000,-10057.000
4324.347,-12282.000,-10038.000
4324.527,-12157.000,-10020.000
4324.767,-11988.000,-9997.000
4325.086,-11740.000,-9967.000
4325.146,-11697.000,-9962.000
4325.487,-11406.000,-9934.000
4325.866,-11049.000,-9918.000
4326.166,-10944.000,-9918.000
4326.466,-10716.000,-9924.000
4326.726,-10517.000,-9938.000
4326.927,-10364.000,-9953.000
4327.127,-10210.000,-9971.000
4328.067,-9427.000,-10059.000
4328.406,-9225.000,-10071.000
4328.686,-8988.000,-10047.000
4329.067,-8829.000,-9980.000
4329.147,-8786.000,-9953.000
4329.506,-8627.000,-9791.000
4329.707,-8533.000,-9625.000
4329.967,-8478.000,-9517.000
4330.267,-8392.000,-9335.000
4330.427,-8351.000,-9235.000
4330.727,-8288.000,-9039.000
4330.967,-8247.000,-8803.000
4331.327,-8236.000,-8616.000
4331.586,-8244.000,-8426.000
4331.747,-8262.000,-8252.000
4332.206,-8304.000,-7985.000
4332.406,-8347.000,-7776.000
4332.646,-8375.000,-7656.000
4332.966,-8431.000,-7412.000
4333.206,-8473.000,-7227.000
4333.306,-8491.000,-7150.000
4333.606,-8565.000,-6821.000
4333.967,-8608.000,-6632.000
4334.247,-8647.000,-6414.000
4334.386,-8655.000,-6311.000
4334.606,-8636.000,-6146.000
4334.847,-8552.000,-5918.000
4335.167,-8462.000,-5749.000
4335.486,-8363.000,-5583.000
4335.687,-8292.000,-5485.000
4335.947,-8225.000,-5413.000
4336.167,-8154.000,-5361.000
4336.367,-8073.000,-5331.000
4336.667,-7963.000,-5327.000
4336.886,-7843.000,-5351.000
4337.267,-7725.000,-5384.000
4337.448,-7643.000,-5404.000
4337.708,-7530.000,-5425.000
4337.988,-7364.000,-5440.000
4338.346,-7241.000,-5443.000
4338.567,-7124.000,-5443.000
4338.807,-6935.000,-5442.000
4339.087,-6819.000,-5441.000
4339.326,-6689.000,-5439.000
4339.627,-6468.000,-5438.000
4340.066,-6225.000,-5436.000
4340.267,-6095.000,-5434.000
4340.447,-5961.000,-5433.000
4340.666,-5744.000,-5432.000
4340.987,-5591.000,-5430.000
4341.267,-5393.000,-5428.000
4341.407,-5309.000,-5426.000
4341.726,-5078.000,-5415.000
4341.967,-4903.000,-5400.000
4342.127,-4741.000,-5385.000
4342.387,-4592.000,-5372.000
4342.607,-4412.000,-5356.000
4342.947,-4169.000,-5336.000
4343.107,-4047.000,-5326.000
4343.267,-3924.000,-5316.000
4343.587,-3614.000,-5291.000
4343.867,-3534.000,-5285.000
4344.207,-3337.000,-5273.000
4344.627,-3180.000,-5294.000
4344.906,-3119.000,-5335.000
4345.087,-3071.000,-5383.000
4345.406,-2992.000,-5469.000
4345.647,-2931.000,-5519.000
4345.846,-2848.000,-5556.000
4346.126,-2795.000,-5564.000
4346.386,-2716.000,-5554.000
4346.646,-2633.000,-5532.000
4346.846,-2546.000,-5502.000
4347.206,-2451.000,-5464.000
4347.367,-2393.000,-5438.000
4347.647,-2285.000,-5386.000
4347.927,-2162.000,-5322.000
4348.167,-2066.000,-5271.000
4348.526,-1897.000,-5181.000
4348.727,-1717.000,-5088.000
4349.086,-1540.000,-5001.000
4349.487,-1382.000,-4929.000
4349.707,-1254.000,-4871.000
4349.946,-1055.000,-4772.000
4350.427,-834.000,-4641.000
4350.467,-811.000,-4627.000
4350.747,-569.000,-4460.000
4351.068,-465.000,-4384.000
4351.446,-246.000,-4216.000
4351.506,-212.000,-4189.000
4351.887,55.000,-3953.000
4352.266,237.000,-3770.000
4352.506,362.000,-3635.000
4352.546,383.000,-3612.000
4352.767,497.000,-3485.000
4352.987,612.000,-3357.000
4353.267,760.000,-3193.000
4353.426,846.000,-3098.000
4353.666,974.000,-2957.000
4353.847,1070.000,-2850.000
4354.127,1298.000,-2601.000
4354.587,1494.000,-2407.000
4354.786,1672.000,-2268.000
4355.086,1812.000,-2183.000
4355.247,1931.000,-2124.000
4355.607,2213.000,-2008.000
4355.827,2414.000,-1928.000
4356.167,2716.000,-1805.000
4356.547,2847.000,-1750.000
4356.746,2941.000,-1709.000
4357.047,3069.000,-1630.000
4357.247,3136.000,-1555.000
4357.608,3178.000,-1461.000
4357.827,3191.000,-1380.000
4357.986,3190.000,-1322.000
4358.286,3171.000,-1214.000
4358.486,3151.000,-1141.000
4358.606,3137.000,-1097.000
4358.866,3104.000,-1000.000
4359.086,3073.000,-915.000
4359.346,3016.000,-782.000
4359.726,2943.000,-644.000
4360.006,2844.000,-514.000
4360.347,2745.000,-436.000
4360.566,2656.000,-394.000
4360.806,2495.000,-361.000
4361.207,2381.000,-359.000
4361.487,2258.000,-376.000
4361.527,2240.000,-380.000
4361.886,2081.000,-435.000
4362.127,1973.000,-484.000
4362.327,1843.000,-545.000
4362.667,1732.000,-596.000
4362.907,1559.000,-674.000
4363.267,1420.000,-738.000
4363.467,1309.000,-788.000
4363.607,1230.000,-823.000
4363.787,1127.000,-870.000
4364.128,840.000,-998.000
4364.447,728.000,-1046.000
4364.746,493.000,-1144.000
4365.146,270.000,-1238.000
4365.326,150.000,-1288.000
4365.547,3.000,-1350.000
4365.767,-148.000,-1409.000
4366.006,-317.000,-1469.000
4366.166,-433.000,-1503.000
4366.387,-596.000,-1541.000
4366.607,-762.000,-1567.000
4366.726,-856.000,-1576.000
4366.927,-1050.000,-1587.000
4367.286,-1385.000,-1597.000
