session_time_seconds,x,y
4432.960,-754.000,11183.000
4433.100,-630.000,11172.000
4433.280,-469.000,11158.000
4433.520,-254.000,11138.000
4433.720,-74.000,11122.000
4434.040,217.000,11097.000
4434.260,417.000,11080.000
4434.460,674.000,11058.000
4434.820,931.000,11036.000
4435.000,1097.000,11021.000
4435.260,1338.000,11001.000
4435.460,1617.000,10977.000
4435.740,1785.000,10962.000
4436.040,2065.000,10938.000
4436.220,2233.000,10923.000
4436.380,2384.000,10910.000
4436.580,2572.000,10894.000
4436.879,2855.000,10870.000
4437.039,3006.000,10857.000
4437.199,3157.000,10844.000
4437.539,3593.000,10806.000
4437.919,3840.000,10785.000
4438.080,3993.000,10772.000
4438.220,4126.000,10760.000
4438.420,4316.000,10744.000
4438.640,4526.000,10726.000
4438.800,4679.000,10713.000
4439.080,4947.000,10690.000
4439.300,5292.000,10660.000
4439.740,5675.000,10627.000
4440.200,6033.000,10597.000
4440.240,6072.000,10594.000
4440.460,6282.000,10576.000
4440.700,6511.000,10556.000
4441.040,6834.000,10529.000
4441.120,6908.000,10523.000
4441.360,7110.000,10506.000
4441.560,7257.000,10494.000
4441.840,7511.000,10472.000
4442.120,7581.000,10465.000
4442.420,7749.000,10442.000
4442.900,7865.000,10407.000
4443.080,7902.000,10388.000
4443.299,7979.000,10336.000
4443.559,8003.000,10311.000
4443.899,8042.000,10237.000
4444.119,8055.000,10184.000
4444.179,8057.000,10170.000
4444.499,8080.000,10078.000
4444.900,8120.000,10020.000
4445.100,8156.000,9996.000
4445.200,8176.000,9987.000
4445.540,8248.000,9970.000
4445.720,8286.000,9966.000
4445.960,8337.000,9965.000
4446.180,8386.000,9969.000
4446.380,8432.000,9975.000
4446.540,8470.000,9982.000
4446.740,8552.000,10002.000
4447.100,8621.000,10020.000
4447.320,8690.000,10038.000
4447.480,8744.000,10053.000
4447.820,8896.000,10093.000
4448.080,8981.000,10114.000
4448.420,9138.000,10152.000
4448.640,9248.000,10176.000
4448.840,9418.000,10207.000
4449.240,9577.000,10229.000
4449.420,9745.000,10242.000
4449.700,9857.000,10247.000
4450.079,10113.000,10251.000
4450.159,10166.000,10251.000
4450.379,10314.000,10248.000
4450.639,10493.000,10241.000
4450.859,10690.000,10228.000
4451.139,10848.000,10214.000
4451.340,10993.000,10198.000
4451.720,11288.000,10153.000
4452.140,11586.000,10085.000
4452.160,11601.000,10080.000
4452.520,11868.000,9993.000
4452.680,12088.000,9902.000
4453.160,12332.000,9779.000
4453.240,12388.000,9746.000
4453.400,12499.000,9678.000
4453.620,12647.000,9576.000
4453.920,12840.000,9422.000
4454.180,12997.000,9272.000
4454.200,13008.000,9260.000
4454.520,13186.000,9058.000
4454.700,13280.000,8938.000
4454.980,13415.000,8742.000
4455.200,13524.000,8559.000
4455.440,13635.000,8346.000
4455.760,13777.000,8012.000
4456.140,13843.000,7814.000
4456.440,13917.000,7526.000
4456.739,13961.000,7303.000
4456.939,13991.000,7129.000
4457.259,14031.000,6850.000
4457.479,14054.000,6657.000
4457.659,14076.000,6427.000
4458.040,14103.000,6089.000
4458.320,14119.000,5911.000
4458.680,14147.000,5571.000
4458.900,14161.000,5377.000
4459.080,14172.000,5216.000
4459.240,14181.000,5072.000
4459.500,14194.000,4838.000
4459.700,14208.000,4532.000
4460.040,14215.000,4353.000
4460.200,14220.000,4209.000
4460.460,14230.000,3980.000
4460.700,14236.000,3791.000
4460.860,14240.000,3678.000
4461.040,14245.000,3563.000
4461.280,14259.000,3365.000
4461.720,14287.000,3224.000
4462.140,14323.000,3116.000
4462.320,14348.000,3062.000
4462.560,14417.000,2969.000
4462.900,14465.000,2933.000
4463.060,14511.000,2911.000
4463.379,14632.000,2846.000
4463.819,14720.000,2758.000
4463.979,14753.000,2710.000
4464.219,14795.000,2632.000
4464.259,14801.000,2618.000
4464.480,14832.000,2538.000
4464.840,14870.000,2390.000
4465.040,14889.000,2301.000
4465.220,14904.000,2215.000
4465.340,14914.000,2155.000
4465.560,14935.000,2043.000
4465.880,14985.000,1841.000
4466.100,15022.000,1720.000
4466.180,15036.000,1675.000
