X,Y,Number,Letter,Angle,Distance
7897.724609375,10393.580505371094,1,,63.78733177568182,882.3265624233256
8218.9814453125,9970.754577636719,2,,-103.83584308210786,940.1153339962711
13054.6201171875,9212.399841308594,3,,43.0285175221899,1451.9239602340738
14374.75390625,3015.3447265625005,4,,-144.04225612081123,2090.8370073848755
14767.123046875,2693.1279296875005,5,,31.752857978127267,2147.328888589022
15457.8046875,-730.8564453124993,6,,-35.3583449803955,2510.297277171008
12392.357421875,-1148.6425781249995,7,,-119.05328309661002,2820.8734215581785
5915.0234375,7261.079833984375,8,,73.07286056163184,3902.6504969604634
5014.56201171875,7345.95849609375,9,,-111.06669618585293,3994.098821416524
4195.185546875,7933.8917236328125,10,,62.544440742145355,4085.715555555554
-6056.1669921875,9879.33073425293,11,,-185.85285360901966,5183.362657010956
